,o_id,o_customer_id,o_order_number,o_currency,o_subtotal,o_tax,o_shipping,o_total,o_shipping_carrier,o_shipping_method,o_payment_status,o_payment_date,o_payment_type,o_payment_amount,o_payment_id,o_payment_code,o_status,o_placed_date,o_updated_date,o_shipped_date,o_customer_type
625,11173,515,11173,USD,138.07,0.0,9.95,148.02,fedex,11Ground,3.0,1452023921,authorize.net,148.02,7861474154.0,5316.0,1,1452023921,1454959058,1452133033,0.0
626,11173,515,11173,USD,138.07,0.0,9.95,148.02,fedex,11Ground,3.0,1452023921,authorize.net,148.02,7861474154.0,5316.0,1,1452023921,1454959058,1452133033,0.0
627,12514,515,12514,USD,241.56,0.0,0.0,241.56,fedex,11Ground,3.0,1454876244,authorize.net,241.56,7962069467.0,1822.0,1,1454876244,1456955758,1454981003,0.0
628,12514,515,12514,USD,241.56,0.0,0.0,241.56,fedex,11Ground,3.0,1454876244,authorize.net,241.56,7962069467.0,1822.0,1,1454876244,1456955758,1454981003,0.0
629,12514,515,12514,USD,241.56,0.0,0.0,241.56,fedex,11Ground,3.0,1454876244,authorize.net,241.56,7962069467.0,1822.0,1,1454876244,1456955758,1454981003,0.0
630,15408,515,15408,USD,189.45,0.0,0.0,189.45,fedex,11Ground,3.0,1460317894,authorize.net,189.45,8304068466.0,4150.0,1,1460317894,1460426230,1460422397,0.0
631,15408,515,15408,USD,189.45,0.0,0.0,189.45,fedex,11Ground,3.0,1460317894,authorize.net,189.45,8304068466.0,4150.0,1,1460317894,1460426230,1460422397,0.0
632,2628,516,2628,USD,52.65,0.0,9.95,62.6,fedex,11Ground,3.0,1418389815,authorize.net,62.6,6749898282.0,46835.0,1,1418389815,1438868410,1418419817,0.0
633,2631,517,2631,USD,38.76,0.0,0.0,38.76,manual,0Free Shipping,3.0,1418396085,authorize.net,38.76,6750171822.0,55453.0,1,1418396085,1438868410,1418590901,0.0
634,5735,520,5735,USD,148.74,13.2,0.0,161.94,manual,1Free Shipping,3.0,1440603393,authorize.net,161.94,7470184509.0,9087.0,1,1440603393,1441217597,1440688846,0.0
635,2644,520,2644,USD,305.99,25.81,0.0,316.5,manual,0Free Shipping,3.0,1418416989,authorize.net,316.5,6751595934.0,9346.0,1,1418416989,1438868410,1418742479,0.0
636,6272,520,6272,USD,134.81,11.96,0.0,146.77,manual,0Standard Shipping,3.0,1441908559,authorize.net,146.77,7514559656.0,7643.0,1,1441908559,1442607116,1442416313,0.0
637,8157,520,8157,USD,61.75,5.48,9.95,71.0,manual,0Standard Shipping,3.0,1447258471,authorize.net,71.0,7699427115.0,21411.0,1,1447258471,1447800834,1447347745,0.0
